# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.652354518697e-10       7.657243176702e-15       2.356002912022e-13       0.000000000000e+00       8.506016592995e-11       8.869031817095e-12      -6.939821901185e-15 
   41       1.677076715690e-10       8.318113969379e-15       2.263302091929e-13       0.000000000000e+00       8.085490527180e-11       8.471375188917e-12      -6.460971050425e-15 
   42       1.702030731356e-10       9.014786579015e-15       2.156854968316e-13       0.000000000000e+00       7.692168697813e-11       8.093102297150e-12      -6.437250518118e-15 
   43       1.727245957853e-10       9.747749151921e-15       2.036215441916e-13       0.000000000000e+00       7.325011971006e-11       7.735771410768e-12      -6.725693298850e-15 
   44       1.752717741065e-10       1.051741357220e-14       1.900912790835e-13       0.000000000000e+00       6.981355775801e-11       7.399969432117e-12      -7.146759514072e-15 
   45       1.778423311585e-10       1.132415622079e-14       1.750465035709e-13       0.000000000000e+00       6.657863047580e-11       7.085449321040e-12      -7.524100158637e-15 
   46       1.804383235913e-10       1.216846436538e-14       1.584430566216e-13       0.000000000000e+00       6.354027780295e-11       6.791801829291e-12      -7.823350283106e-15 
   47       1.830612577293e-10       1.305082661859e-14       1.402367064622e-13       0.000000000000e+00       6.069498740200e-11       6.517832661169e-12      -8.050984982812e-15 
   48       1.857100959455e-10       1.397169046612e-14       1.203814723249e-13       0.000000000000e+00       5.803022680185e-11       6.261278892686e-12      -8.216053798160e-15 
   49       1.883810293247e-10       1.493146078207e-14       9.882943082325e-14       0.000000000000e+00       5.552377248897e-11       6.018732715415e-12      -8.330340810670e-15 
   50       1.910696368129e-10       1.593047195541e-14       7.553587720469e-14       0.000000000000e+00       5.315040832356e-11       5.786615444828e-12      -8.408822873704e-15 
   51       1.937785810150e-10       1.696889879412e-14       5.047690992079e-14       0.000000000000e+00       5.090572078910e-11       5.564588142295e-12      -8.470819515629e-15 
   52       1.965116083694e-10       1.804681887069e-14       2.363628449777e-14       0.000000000000e+00       4.878760298747e-11       5.352934954426e-12      -8.539431900699e-15 
   53       1.992712329329e-10       1.916423413553e-14      -4.999467181240e-15       0.000000000000e+00       4.678913340364e-11       5.151567566570e-12      -8.641441969580e-15 
   54       2.020586213503e-10       2.032106819045e-14      -3.544097850665e-14       0.000000000000e+00       4.489825178873e-11       4.959998370868e-12      -8.807486565267e-15 
   55       2.048741395523e-10       2.151721269579e-14      -6.769622623013e-14       0.000000000000e+00       4.310144143507e-11       4.777575813207e-12      -9.062347749420e-15 
   56       2.077194154191e-10       2.275268633794e-14      -1.017712502545e-13       0.000000000000e+00       4.139658973120e-11       4.604320368217e-12      -9.392600209498e-15 
   57       2.105955870402e-10       2.402751057709e-14      -1.376695104160e-13       0.000000000000e+00       3.978275472855e-11       4.440249240143e-12      -9.771231768227e-15 
   58       2.135025985710e-10       2.534166317916e-14      -1.753916176071e-13       0.000000000000e+00       3.825627429500e-11       4.285116123582e-12      -1.016661666726e-14 
   59       2.164391109832e-10       2.669507740358e-14      -2.149352846185e-13       0.000000000000e+00       3.681059809111e-11       4.138394586290e-12      -1.054230460961e-14 
   60       2.194024128146e-10       2.808764119115e-14      -2.562952769832e-13       0.000000000000e+00       3.543611954638e-11       3.999261452001e-12      -1.085680980205e-14 
   61       2.223896806245e-10       2.951911853942e-14      -2.994637916327e-13       0.000000000000e+00       3.412284490100e-11       3.866826050300e-12      -1.107308304302e-14 
   62       2.254022928791e-10       3.098889484351e-14      -3.444318033949e-13       0.000000000000e+00       3.286948052674e-11       3.740915690337e-12      -1.118988971657e-14 
   63       2.284423303955e-10       3.249617269292e-14      -3.911879348778e-13       0.000000000000e+00       3.167609647449e-11       3.621437810006e-12      -1.121713263112e-14 
   64       2.315112665756e-10       3.404004142384e-14      -4.397180204478e-13       0.000000000000e+00       3.054139293918e-11       3.508141025239e-12      -1.116688484416e-14 
   65       2.346099209817e-10       3.561947383803e-14      -4.900050706470e-13       0.000000000000e+00       2.946262225399e-11       3.400606314008e-12      -1.105348594036e-14 
   66       2.377384129120e-10       3.723332292170e-14      -5.420292366104e-13       0.000000000000e+00       2.843551088450e-11       3.298238200305e-12      -1.089363830978e-14 
   67       2.408961149755e-10       3.888031856438e-14      -5.957677744832e-13       0.000000000000e+00       2.745418142295e-11       3.200255938141e-12      -1.070650342591e-14 
   68       2.440822597159e-10       4.055919896179e-14      -6.511966072576e-13       0.000000000000e+00       2.651272297071e-11       3.105893843060e-12      -1.051012116703e-14 
   69       2.472980059884e-10       4.226914307674e-14      -7.082954573120e-13       0.000000000000e+00       2.561044615356e-11       3.015069129907e-12      -1.030961005749e-14 
   70       2.505447098098e-10       4.400942031446e-14      -7.670436947156e-13       0.000000000000e+00       2.474755767027e-11       2.927834180867e-12      -1.010673805737e-14 
   71       2.538232791670e-10       4.577926375251e-14      -8.274188370035e-13       0.000000000000e+00       2.392357091282e-11       2.844175966311e-12      -9.903390168105e-15 
   72       2.571341442942e-10       4.757787030429e-14      -8.893965544491e-13       0.000000000000e+00       2.313727011888e-11       2.764012577830e-12      -9.701570670753e-15 
   73       2.604772279504e-10       4.940440088249e-14      -9.529506753359e-13       0.000000000000e+00       2.238667452428e-11       2.687189761265e-12      -9.503405364339e-15 
   74       2.638519156966e-10       5.125798056261e-14      -1.018053191230e-12       0.000000000000e+00       2.166900251547e-11       2.613477449740e-12      -9.311143804166e-15 
   75       2.672570261731e-10       5.313769874642e-14      -1.084674262251e-12       0.000000000000e+00       2.098063578198e-11       2.542566296694e-12      -9.127161540133e-15 
   76       2.706913987250e-10       5.504254570196e-14      -1.152781823823e-12       0.000000000000e+00       2.031801779233e-11       2.474149214103e-12      -8.953649244560e-15 
   77       2.741558456920e-10       5.697120846203e-14      -1.222340312482e-12       0.000000000000e+00       1.968061761639e-11       2.408190816903e-12      -8.791609701027e-15 
   78       2.776515037820e-10       5.892223783090e-14      -1.293311716210e-12       0.000000000000e+00       1.906844395360e-11       2.344701042558e-12      -8.641681128405e-15 
   79       2.811792315187e-10       6.089410758329e-14      -1.365655949495e-12       0.000000000000e+00       1.848114233804e-11       2.283652808802e-12      -8.504429950625e-15 
   80       2.847395921775e-10       6.288521332320e-14      -1.439330850425e-12       0.000000000000e+00       1.791797844994e-11       2.224980289774e-12      -8.380346614404e-15 
   81       2.883328367226e-10       6.489387134277e-14      -1.514292177794e-12       0.000000000000e+00       1.737782142723e-11       2.168577192149e-12      -8.269841406981e-15 
   82       2.919588867434e-10       6.691831748110e-14      -1.590493608198e-12       0.000000000000e+00       1.685912717703e-11       2.114295031274e-12      -8.173240273851e-15 
   83       2.956173173909e-10       6.895670598309e-14      -1.667886733136e-12       0.000000000000e+00       1.635992168721e-11       2.061941407294e-12      -8.090780636498e-15 
   84       2.993076390187e-10       7.100717865569e-14      -1.746421577814e-12       0.000000000000e+00       1.587828091459e-11       2.011327981060e-12      -8.022337775636e-15 
