# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.653318931109e-10       7.721634798425e-15       2.354083123802e-13       6.484868126990e-17       8.506016592995e-11       8.869031817095e-12      -6.939821901185e-15 
   41       1.678081726590e-10       8.385703303796e-15       2.261240685283e-13       6.813709592859e-17       8.085490527180e-11       8.471375188917e-12      -6.460971050425e-15 
   42       1.703076788832e-10       9.085644104661e-15       2.154648107959e-13       7.150835362882e-17       7.692168697813e-11       8.093102297150e-12      -6.437250518118e-15 
   43       1.728333479754e-10       9.821944324877e-15       2.033859794209e-13       7.496249703464e-17       7.325011971006e-11       7.735771410768e-12      -6.725693298850e-15 
   44       1.753847114002e-10       1.059501476793e-14       1.898405587739e-13       7.849956142514e-17       6.981355775801e-11       7.399969432117e-12      -7.146759514072e-15 
   45       1.779594891997e-10       1.140523065762e-14       1.747804136655e-13       8.211957092212e-17       6.657863047580e-11       7.085449321040e-12      -7.524100158637e-15 
   46       1.805597358210e-10       1.225307796878e-14       1.581614507042e-13       8.582252617399e-17       6.354027780295e-11       6.791801829291e-12      -7.823350283106e-15 
   47       1.831869556933e-10       1.313904392514e-14       1.399395119859e-13       8.960841274027e-17       6.069498740200e-11       6.517832661169e-12      -8.050984982812e-15 
   48       1.858401094135e-10       1.406357454117e-14       1.200686974861e-13       9.347720405118e-17       5.803022680185e-11       6.261278892686e-12      -8.216053798160e-15 
   49       1.885153864162e-10       1.502707313536e-14       9.850117166031e-14       9.742886105210e-17       5.552377248897e-11       6.018732715415e-12      -8.330340810670e-15 
   50       1.912083641904e-10       1.602987243687e-14       7.519232337127e-14       1.014633318374e-16       5.315040832356e-11       5.786615444828e-12      -8.408822873704e-15 
   51       1.939217042894e-10       1.707214542856e-14       5.011834553433e-14       1.055805512600e-16       5.090572078910e-11       5.564588142295e-12      -8.470819515629e-15 
   52       1.966591523610e-10       1.815396773342e-14       2.326309296488e-14       1.097804406008e-16       4.878760298747e-11       5.352934954426e-12      -8.539431900699e-15 
   53       1.994232218853e-10       1.927533924145e-14      -5.386796756816e-15       1.140629072233e-16       4.678913340364e-11       5.151567566570e-12      -8.641441969580e-15 
   54       2.022150791523e-10       2.043618138023e-14      -3.584184476401e-14       1.184278442168e-16       4.489825178873e-11       4.959998370868e-12      -8.807486565267e-15 
   55       2.050350897291e-10       2.163638353947e-14      -6.810991139083e-14       1.228751384337e-16       4.310144143507e-11       4.777575813207e-12      -9.062347749420e-15 
   56       2.078848803420e-10       2.287596210247e-14      -1.021969242074e-13       1.274046977530e-16       4.139658973120e-11       4.604320368217e-12      -9.392600209498e-15 
   57       2.107655877393e-10       2.415493614074e-14      -1.381062283393e-13       1.320164299662e-16       3.978275472855e-11       4.440249240143e-12      -9.771231768227e-15 
   58       2.136771547706e-10       2.547328092491e-14      -1.758383151654e-13       1.367102349491e-16       3.825627429500e-11       4.285116123582e-12      -1.016661666726e-14 
   59       2.166182411371e-10       2.683092711036e-14      -2.153907731089e-13       1.414860046328e-16       3.681059809111e-11       4.138394586290e-12      -1.054230460961e-14 
   60       2.195861341409e-10       2.822775992300e-14      -2.567582384275e-13       1.463436229747e-16       3.543611954638e-11       3.999261452001e-12      -1.085680980205e-14 
   61       2.225780087710e-10       2.966354063788e-14      -2.999327761391e-13       1.512829814462e-16       3.412284490100e-11       3.866826050300e-12      -1.107308304302e-14 
   62       2.255952403836e-10       3.113765226161e-14      -3.449052340407e-13       1.563040296228e-16       3.286948052674e-11       3.740915690337e-12      -1.118988971657e-14 
   63       2.286399060787e-10       3.264929506088e-14      -3.916641066734e-13       1.614067359501e-16       3.167609647449e-11       3.621437810006e-12      -1.121713263112e-14 
   64       2.317134752679e-10       3.419755601729e-14      -4.401950971488e-13       1.665910736823e-16       3.054139293918e-11       3.508141025239e-12      -1.116688484416e-14 
   65       2.348167632373e-10       3.578140554752e-14      -4.904810815874e-13       1.718570213466e-16       2.946262225399e-11       3.400606314008e-12      -1.105348594036e-14 
   66       2.379498847113e-10       3.739969422340e-14      -5.425020735566e-13       1.772045632054e-16       2.843551088450e-11       3.298238200305e-12      -1.089363830978e-14 
   67       2.411122074151e-10       3.905114949201e-14      -5.962351885091e-13       1.826336897204e-16       2.745418142295e-11       3.200255938141e-12      -1.070650342591e-14 
   68       2.443029588102e-10       4.073450721765e-14      -6.516562059036e-13       1.881444061619e-16       2.651272297071e-11       3.105893843060e-12      -1.051012116703e-14 
   69       2.475232928579e-10       4.244894459006e-14      -7.087447026144e-13       1.937367594282e-16       2.561044615356e-11       3.015069129907e-12      -1.030961005749e-14 
   70       2.507745605396e-10       4.419372944567e-14      -7.674799005800e-13       1.994108175177e-16       2.474755767027e-11       2.927834180867e-12      -1.010673805737e-14 
   71       2.540576645401e-10       4.596809337237e-14      -8.278391663592e-13       2.051666625233e-16       2.392357091282e-11       2.844175966311e-12      -9.903390168105e-15 
   72       2.573730295158e-10       4.777123187766e-14      -8.897980164310e-13       2.110043913033e-16       2.313727011888e-11       2.764012577830e-12      -9.701570670753e-15 
   73       2.607205723636e-10       4.960230455699e-14      -9.533301224939e-13       2.169241161540e-16       2.238667452428e-11       2.687189761265e-12      -9.503405364339e-15 
   74       2.640996724888e-10       5.146043526192e-14      -1.018407316766e-12       2.229259654804e-16       2.166900251547e-11       2.613477449740e-12      -9.311143804166e-15 
   75       2.675091420735e-10       5.334471226842e-14      -1.084999597284e-12       2.290100844685e-16       2.098063578198e-11       2.542566296694e-12      -9.127161540133e-15 
   76       2.709478142948e-10       5.525412482473e-14      -1.153074735292e-12       2.351766284886e-16       2.031801779233e-11       2.474149214103e-12      -8.953649244560e-15 
   77       2.744164975352e-10       5.718735906499e-14      -1.222597003022e-12       2.414257404328e-16       1.968061761639e-11       2.408190816903e-12      -8.791609701027e-15 
   78       2.779163251714e-10       5.914296501223e-14      -1.293528222471e-12       2.477575704462e-16       1.906844395360e-11       2.344701042558e-12      -8.641681128405e-15 
   79       2.814481524542e-10       6.111941577916e-14      -1.365828139916e-12       2.541722833421e-16       1.848114233804e-11       2.283652808802e-12      -8.504429950625e-15 
   80       2.850125394490e-10       6.311510643181e-14      -1.439454423055e-12       2.606700591247e-16       1.791797844994e-11       2.224980289774e-12      -8.380346614404e-15 
   81       2.886097339753e-10       6.512835285317e-14      -1.514362658145e-12       2.672510935117e-16       1.737782142723e-11       2.168577192149e-12      -8.269841406981e-15 
   82       2.922396545468e-10       6.715739060687e-14      -1.590506347149e-12       2.739155984569e-16       1.685912717703e-11       2.114295031274e-12      -8.173240273851e-15 
   83       2.959018733116e-10       6.920037380081e-14      -1.667836904867e-12       2.806638026728e-16       1.635992168721e-11       2.061941407294e-12      -8.090780636498e-15 
   84       2.995958976522e-10       7.125544418145e-14      -1.746304182961e-12       2.874959486130e-16       1.587828091459e-11       2.011327981060e-12      -8.022337775636e-15 
   85       3.033221059960e-10       7.332095406660e-14      -1.825858148083e-12       2.944122816994e-16       1.541389841265e-11       1.962427316179e-12      -7.966561024589e-15 
   86       3.070809365850e-10       7.539527845857e-14      -1.906447477992e-12       3.014130602590e-16       1.496674819411e-11       1.915238998316e-12      -7.921586041286e-15 
   87       3.108725907457e-10       7.747674814281e-14      -1.988019065320e-12       3.084985593614e-16       1.453660304078e-11       1.869741371744e-12      -7.885282928371e-15 
   88       3.146970208483e-10       7.956364973194e-14      -2.070518023567e-12       3.156690712822e-16       1.412302616097e-11       1.825890650760e-12      -7.855247522635e-15 
   89       3.185539182666e-10       8.165422570976e-14      -2.153887693096e-12       3.229249059660e-16       1.372536284675e-11       1.783620031116e-12      -7.828792684432e-15 
   90       3.224427013367e-10       8.374667447521e-14      -2.238069647128e-12       3.302663914892e-16       1.334273213138e-11       1.742838801432e-12      -7.802939587106e-15 
   91       3.263625033173e-10       8.583915038640e-14      -2.323003697737e-12       3.376938745236e-16       1.297401844664e-11       1.703431454630e-12      -7.774409006412e-15 
   92       3.303121603483e-10       8.792976380460e-14      -2.408627901847e-12       3.452077207990e-16       1.261786328016e-11       1.665256799344e-12      -7.739612609939e-15 
   93       3.342905639287e-10       9.001660930870e-14      -2.494879437145e-12       3.528083233341e-16       1.227298756726e-11       1.628182476928e-12      -7.695478871285e-15 
   94       3.382978051410e-10       9.209785509722e-14      -2.581697367488e-12       3.604961275366e-16       1.193923245229e-11       1.592196380868e-12      -7.642091825091e-15 
   95       3.423341810569e-10       9.417166717626e-14      -2.669020306436e-12       3.682716107520e-16       1.161666036144e-11       1.557310429940e-12      -7.580434922620e-15 
   96       3.463998386107e-10       9.623618281207e-14      -2.756785602087e-12       3.761352753946e-16       1.130523446380e-11       1.523526258579e-12      -7.511594478185e-15 
   97       3.504947675627e-10       9.828951096169e-14      -2.844929355012e-12       3.840876495170e-16       1.100481486857e-11       1.490834814315e-12      -7.436762415330e-15 
   98       3.546187934618e-10       1.003297327037e-13      -2.933386436192e-12       3.921292873801e-16       1.071515482236e-11       1.459215955195e-12      -7.357239013013e-15 
   99       3.587715706089e-10       1.023549016689e-13      -3.022090504955e-12       4.002607700226e-16       1.043589690654e-11       1.428638047219e-12      -7.274435651779e-15 
  100       3.629525750199e-10       1.043630444708e-13      -3.110974026915e-12       4.084827058310e-16       1.016656923444e-11       1.399057561766e-12      -7.189877559946e-15 
  101       3.671610973891e-10       1.063521611369e-13      -3.199968291903e-12       4.167957311089e-16       9.906581648708e-12       1.370418673021e-12      -7.105206559784e-15 
  102       3.713962360518e-10       1.083202255385e-13      -3.289003431908e-12       4.252005106470e-16       9.655221918576e-12       1.342652855409e-12      -7.022183813690e-15 
  103       3.756568899480e-10       1.102651858222e-13      -3.378008439013e-12       4.336977382930e-16       9.411651937142e-12       1.315678481021e-12      -6.942692570375e-15 
  104       3.799419896528e-10       1.121850159720e-13      -3.466911743033e-12       4.422881173913e-16       9.175097740142e-12       1.289420019121e-12      -6.868334100919e-15 
  105       3.842512411695e-10       1.140778775029e-13      -3.555642994680e-12       4.509722978687e-16       8.945456986342e-12       1.263869455510e-12      -6.799147428424e-15 
  106       3.885844699614e-10       1.159419805140e-13      -3.644131557837e-12       4.597509316727e-16       8.722766831575e-12       1.239032458146e-12      -6.734720967048e-15 
  107       3.929413874885e-10       1.177755354887e-13      -3.732305995164e-12       4.686246924861e-16       8.507015782635e-12       1.214909331047e-12      -6.674582184846e-15 
  108       3.973215867872e-10       1.195767542863e-13      -3.820094092182e-12       4.775942760760e-16       8.298142024479e-12       1.191494827139e-12      -6.618195879509e-15 
  109       4.017245380491e-10       1.213438511353e-13      -3.907422881362e-12       4.866604006417e-16       8.096031747415e-12       1.168777961085e-12      -6.564962454102e-15 
  110       4.061495842004e-10       1.230750436255e-13      -3.994218666211e-12       4.958238071636e-16       7.900517474307e-12       1.146741822126e-12      -6.514216192805e-15 
  111       4.105959364813e-10       1.247685537008e-13      -4.080407045362e-12       5.050852597518e-16       7.711376387761e-12       1.125363386915e-12      -6.465223536649e-15 
  112       4.150626700252e-10       1.264226086518e-13      -4.165912936656e-12       5.144455459941e-16       7.528328657329e-12       1.104613332355e-12      -6.417181359258e-15 
  113       4.195487194375e-10       1.280354421084e-13      -4.250660601234e-12       5.239054773051e-16       7.351035766701e-12       1.084455848435e-12      -6.369215242584e-15 
  114       4.240528743755e-10       1.296052950322e-13      -4.334573667620e-12       5.334658892744e-16       7.179098840897e-12       1.064848451066e-12      -6.320377752653e-15 
  115       4.285737751272e-10       1.311304167091e-13      -4.417575155812e-12       5.431276420152e-16       7.012056973472e-12       1.045741794920e-12      -6.269646715296e-15 
  116       4.331101041307e-10       1.326091133842e-13      -4.499588446246e-12       5.528915945804e-16       6.849488286098e-12       1.027090471779e-12      -6.216142953787e-15 
  117       4.376611963994e-10       1.340398987516e-13      -4.580540268853e-12       5.627585239376e-16       6.691330622937e-12       1.008887295160e-12      -6.159817220859e-15 
  118       4.422264953568e-10       1.354213637099e-13      -4.660358124336e-12       5.727291967518e-16       6.537596886873e-12       9.911328519922e-13      -6.100843935521e-15 
  119       4.468053608783e-10       1.367521317565e-13      -4.738969403903e-12       5.828043945539e-16       6.388275039723e-12       9.738248010246e-13      -6.039409407955e-15 
  120       4.513970666027e-10       1.380308604007e-13      -4.816301421703e-12       5.929849138601e-16       6.243327337770e-12       9.569577827932e-13      -5.975712055683e-15 
  121       4.560007972443e-10       1.392562425780e-13      -4.892281447271e-12       6.032715662911e-16       6.102689567284e-12       9.405233295885e-13      -5.909962619728e-15 
  122       4.606156459039e-10       1.404270080638e-13      -4.966836737965e-12       6.136651786912e-16       5.966270280056e-12       9.245097754236e-13      -5.842384380772e-15 
  123       4.652406113811e-10       1.415419248868e-13      -5.039894571413e-12       6.241665932477e-16       5.833950028924e-12       9.089021660018e-13      -5.773213375327e-15 
  124       4.698745954858e-10       1.425998007438e-13      -5.111382277950e-12       6.347766676102e-16       5.705580603300e-12       8.936821686835e-13      -5.702698611890e-15 
  125       4.745164003496e-10       1.435994844123e-13      -5.181227273063e-12       6.454962750095e-16       5.580984264700e-12       8.788279824547e-13      -5.631102287109e-15 
  126       4.791647257381e-10       1.445398671652e-13      -5.249357089830e-12       6.563263043770e-16       5.459952982271e-12       8.643142478939e-13      -5.558700001945e-15 
  127       4.838181663620e-10       1.454198841845e-13      -5.315699411362e-12       6.672676604641e-16       5.342247668319e-12       8.501119571404e-13      -5.485780977835e-15 
  128       4.884752091890e-10       1.462385159746e-13      -5.380182103245e-12       6.783212639612e-16       5.227597413839e-12       8.361883638610e-13      -5.412648272852e-15 
  129       4.931343850991e-10       1.469948301167e-13      -5.442733954152e-12       6.894880243220e-16       5.115757717935e-12       8.225146531409e-13      -5.339575400069e-15 
