# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.345350237903e-02       2.461383680849e+04 
       1.358216785361e-02       2.465841676721e+04 
       1.371086960757e-02       2.470068400861e+04 
       1.383960774988e-02       2.474083015795e+04 
       1.396838241262e-02       2.477888584515e+04 
       1.409719375054e-02       2.481490279711e+04 
       1.422604194079e-02       2.484884756115e+04 
       1.435492718256e-02       2.488073155693e+04 
       1.448384969684e-02       2.491060319690e+04 
       1.461280972618e-02       2.493852914086e+04 
       1.474180753446e-02       2.496448447610e+04 
       1.487084340670e-02       2.498853299645e+04 
       1.499991764894e-02       2.501061203196e+04 
       1.512903058808e-02       2.503083562905e+04 
       1.525818257178e-02       2.504919560121e+04 
       1.538737396838e-02       2.506575248905e+04 
       1.551660516685e-02       2.508041858461e+04 
       1.564587657674e-02       2.509339625894e+04 
       1.577518862818e-02       2.510453873841e+04 
       1.590454177189e-02       2.511401798756e+04 
       1.603393647920e-02       2.512171644148e+04 
       1.616337324207e-02       2.512772743800e+04 
       1.629285257324e-02       2.513208316446e+04 
       1.642237500622e-02       2.513473374933e+04 
       1.655194109545e-02       2.513577769328e+04 
       1.668155141643e-02       2.513528300737e+04 
       1.681120656582e-02       2.513313869891e+04 
       1.694090716164e-02       2.512956094716e+04 
       1.707065384342e-02       2.512427137595e+04 
       1.720044727241e-02       2.511751346404e+04 
       1.733028813179e-02       2.510925042025e+04 
       1.746017712687e-02       2.509955937271e+04 
       1.759011498538e-02       2.508839674830e+04 
       1.772010245770e-02       2.507577805952e+04 
       1.785014031713e-02       2.506180466254e+04 
       1.798022936023e-02       2.504556871594e+04 
       1.811037040707e-02       2.502956529521e+04 
       1.824056430160e-02       2.501068509162e+04 
       1.837081191200e-02       2.499122716849e+04 
       1.850111413099e-02       2.497046550723e+04 
       1.863147187625e-02       2.494919471414e+04 
       1.876188609083e-02       2.492577945551e+04 
       1.889235774351e-02       2.490060281878e+04 
       1.902288782927e-02       2.487532198094e+04 
       1.915347736971e-02       2.484765704024e+04 
       1.928412741354e-02       2.481921751062e+04 
       1.941483903705e-02       2.478963823151e+04 
       1.954561334461e-02       2.476027037159e+04 
       1.967645146917e-02       2.472851938911e+04 
       1.980735457286e-02       2.469557939678e+04 
       1.993832384746e-02       2.466112146724e+04 
       2.006936051505e-02       2.462615415498e+04 
       2.020046582857e-02       2.458985253521e+04 
       2.033164107245e-02       2.455368810299e+04 
       2.046288756323e-02       2.451554628099e+04 
       2.059420665027e-02       2.447641760361e+04 
       2.072559971635e-02       2.443522959147e+04 
       2.085706817843e-02       2.439432925248e+04 
       2.098861348839e-02       2.435300391563e+04 
       2.112023713373e-02       2.430925039134e+04 
       2.125194063837e-02       2.426510498681e+04 
       2.138372556344e-02       2.422028919466e+04 
       2.151559350812e-02       2.417455579903e+04 
       2.164754611049e-02       2.412800477270e+04 
       2.177958504837e-02       2.408059869172e+04 
       2.191171204026e-02       2.403231752887e+04 
       2.204392884627e-02       2.398313527182e+04 
       2.217623726907e-02       2.393309526043e+04 
       2.230863915488e-02       2.388246993624e+04 
       2.244113639451e-02       2.383093923666e+04 
       2.257373092438e-02       2.377856434564e+04 
       2.270642472767e-02       2.372562448733e+04 
       2.283921983536e-02       2.367231782092e+04 
       2.297211832747e-02       2.361744286217e+04 
       2.310512233418e-02       2.356294004335e+04 
       2.323823403711e-02       2.350636028693e+04 
       2.337145567058e-02       2.344983360420e+04 
       2.350478952290e-02       2.339256464858e+04 
       2.363823793775e-02       2.333493668584e+04 
       2.377180331554e-02       2.327645982519e+04 
       2.390548811488e-02       2.321725631733e+04 
       2.403929485406e-02       2.315766158342e+04 
       2.417322611255e-02       2.309729977590e+04 
       2.430728453261e-02       2.303720176555e+04 
       2.444147282095e-02       2.297516718301e+04 
       2.457579375034e-02       2.291310563603e+04 
       2.471025016141e-02       2.285135832399e+04 
       2.484484496445e-02       2.278768971098e+04 
       2.497958114121e-02       2.272428807600e+04 
       2.511446174689e-02       2.266000215818e+04 
       2.524948991206e-02       2.259552921630e+04 
       2.538466884476e-02       2.253121846494e+04 
       2.552000183257e-02       2.246528669792e+04 
       2.565549224483e-02       2.239947038924e+04 
       2.579114353489e-02       2.233318145681e+04 
       2.592695924245e-02       2.226650287339e+04 
       2.606294299599e-02       2.219926820227e+04 
       2.619909851527e-02       2.213224464982e+04 
       2.633542961389e-02       2.206381879907e+04 
       2.647194020202e-02       2.199544331648e+04 
       2.660863428916e-02       2.192683801786e+04 
       2.674551598699e-02       2.185778025577e+04 
       2.688258951239e-02       2.178888385350e+04 
       2.701985919047e-02       2.171878309257e+04 
       2.715732945781e-02       2.164914557144e+04 
       2.729500486577e-02       2.157885329380e+04 
       2.743289008388e-02       2.150787333118e+04 
       2.757098990346e-02       2.143710777951e+04 
       2.770930924125e-02       2.136579798242e+04 
       2.784785314330e-02       2.129455353884e+04 
       2.798662678890e-02       2.122266741681e+04 
       2.812563549472e-02       2.115080716583e+04 
       2.826488471910e-02       2.107846563231e+04 
       2.840438006650e-02       2.100604164534e+04 
       2.854412729209e-02       2.093341763120e+04 
       2.868413230661e-02       2.086056722828e+04 
       2.882440118130e-02       2.078746641533e+04 
       2.896494015314e-02       2.071439937567e+04 
       2.910575563021e-02       2.064069381169e+04 
       2.924685419735e-02       2.056710414202e+04 
       2.938824262194e-02       2.049361427102e+04 
       2.952992786005e-02       2.041926247091e+04 
       2.967191706276e-02       2.034558559333e+04 
       2.981421758271e-02       2.027082930615e+04 
       2.995683698106e-02       2.019646617471e+04 
       3.009978303460e-02       2.012185933777e+04 
       3.024306374326e-02       2.004726727649e+04 
       3.038668733790e-02       1.997277797528e+04 
       3.053066228844e-02       1.989748904745e+04 
       3.067499731238e-02       1.982250636889e+04 
       3.081970138366e-02       1.974740797321e+04 
       3.096478374193e-02       1.967217393510e+04 
       3.111025390225e-02       1.959684047421e+04 
       3.125612166522e-02       1.952178097106e+04 
       3.140239712756e-02       1.944634404528e+04 
       3.154909069322e-02       1.937076264485e+04 
       3.169621308497e-02       1.929503054855e+04 
       3.184377535656e-02       1.921940705062e+04 
       3.199178890548e-02       1.914385909656e+04 
       3.214026548626e-02       1.906804151485e+04 
       3.228921722448e-02       1.899225304709e+04 
       3.243865663151e-02       1.891650559686e+04 
       3.258859661984e-02       1.884080258928e+04 
       3.273905051931e-02       1.876490322888e+04 
       3.289003209410e-02       1.868895660421e+04 
       3.304155556063e-02       1.861306546653e+04 
       3.319363560628e-02       1.853734305564e+04 
       3.334628740926e-02       1.846142478082e+04 
       3.349952665933e-02       1.838547460548e+04 
       3.365336957980e-02       1.830937758446e+04 
       3.380783295056e-02       1.823343554224e+04 
       3.396293413251e-02       1.815779739170e+04 
       3.411869109320e-02       1.808187547525e+04 
       3.427512243399e-02       1.800596036805e+04 
       3.443224741866e-02       1.792994039744e+04 
       3.459008600374e-02       1.785433406885e+04 
       3.474865887047e-02       1.777826996377e+04 
       3.490798745872e-02       1.770245138677e+04 
       3.506809400281e-02       1.762685000760e+04 
       3.522900156955e-02       1.755109822616e+04 
       3.539073409852e-02       1.747532157597e+04 
       3.555331644476e-02       1.739960340982e+04 
       3.571677442418e-02       1.732400216314e+04 
       3.588113486177e-02       1.724830204465e+04 
       3.604642564279e-02       1.717273041067e+04 
       3.621267576732e-02       1.709723965867e+04 
       3.637991540825e-02       1.702178738736e+04 
       3.654817597321e-02       1.694620035101e+04 
       3.671749017040e-02       1.687108853028e+04 
       3.688789207907e-02       1.679551811262e+04 
       3.705941722460e-02       1.672005359379e+04 
       3.723210265894e-02       1.664480015529e+04 
       3.740598704652e-02       1.656942364847e+04 
       3.758111075636e-02       1.649414087570e+04 
       3.775751596073e-02       1.641904429845e+04 
       3.793524674106e-02       1.634398740044e+04 
       3.811434920164e-02       1.626862492074e+04 
       3.829487159185e-02       1.619355778561e+04 
       3.847686443767e-02       1.611850767011e+04 
       3.866038068339e-02       1.604338033526e+04 
       3.884547584440e-02       1.596817529214e+04 
       3.903220817207e-02       1.589332134711e+04 
       3.922063883205e-02       1.581820337691e+04 
       3.941083209713e-02       1.574325100881e+04 
       3.960285555615e-02       1.566817542719e+04 
       3.979678034062e-02       1.559315625640e+04 
       3.999268137086e-02       1.551846275744e+04 
       4.019063762358e-02       1.544330223816e+04 
       4.039073242336e-02       1.536839187931e+04 
       4.059305376037e-02       1.529337753991e+04 
       4.079769463737e-02       1.521797974000e+04 
       4.100475344924e-02       1.514314380588e+04 
       4.121433439852e-02       1.506814260686e+04 
       4.142654795143e-02       1.499282076119e+04 
       4.164151133876e-02       1.491752862501e+04 
       4.185934910734e-02       1.484237532780e+04 
       4.208019372788e-02       1.476706741111e+04 
       4.230418626652e-02       1.469148881826e+04 
       4.253147712781e-02       1.461599147861e+04 
       4.276222687857e-02       1.454048399373e+04 
       4.299660716312e-02       1.446457669169e+04 
       4.323480172214e-02       1.438892773242e+04 
       4.347700752942e-02       1.431274868244e+04 
       4.372343606278e-02       1.423660360277e+04 
       4.397431472850e-02       1.416025315454e+04 
       4.422988846156e-02       1.408369957985e+04 
       4.449042152773e-02       1.400693643133e+04 
       4.475619955856e-02       1.393014136826e+04 
       4.502753185521e-02       1.385276752893e+04 
       4.530475400424e-02       1.377522384949e+04 
       4.558823085609e-02       1.369753208228e+04 
       4.587835992696e-02       1.361957630847e+04 
       4.617557529645e-02       1.354097979978e+04 
       4.648035208807e-02       1.346224063478e+04 
       4.679321163715e-02       1.338301259449e+04 
       4.711472747324e-02       1.330318871502e+04 
       4.744553227065e-02       1.322265456075e+04 
       4.778632595524e-02       1.314221241105e+04 
       4.813788519751e-02       1.306090738697e+04 
       4.850107457524e-02       1.297862274545e+04 
       4.887685975580e-02       1.289549719579e+04 
       4.926632313267e-02       1.281180322129e+04 
       4.967068245771e-02       1.272740758057e+04 
       5.009131314714e-02       1.264189190913e+04 
       5.052977511256e-02       1.255534132905e+04 
       5.098784518948e-02       1.246746476245e+04 
       5.146755651762e-02       1.237854843087e+04 
       5.197124658464e-02       1.228828693955e+04 
       5.250161609413e-02       1.219602456917e+04 
       5.306180137625e-02       1.210201433019e+04 
       5.365546373167e-02       1.200582952845e+04 
       5.428689987270e-02       1.190686684788e+04 
       5.496117843291e-02       1.180502323711e+04 
       5.568430817853e-02       1.169975690346e+04 
       5.646344366157e-02       1.159047606048e+04 
       5.730713274341e-02       1.147627795765e+04 
       5.822560596970e-02       1.135618616318e+04 
       5.923109695098e-02       1.122878028839e+04 
       6.033815997203e-02       1.109123012737e+04 
       6.156390694632e-02       1.094282091326e+04 
       6.292800909789e-02       1.077868628105e+04 
       6.445219344787e-02       1.059448235271e+04 
       6.615883530489e-02       1.038500063023e+04 
       6.806821441824e-02       1.014353110924e+04 
       7.019430715425e-02       9.861752498614e+03 
       7.253989711302e-02       9.534274374706e+03 
       7.509308968494e-02       9.157731451913e+03 
       7.782776156539e-02       8.734874124164e+03 
       8.070867001559e-02       8.275402408868e+03 
       8.369884902040e-02       7.795280366041e+03 
       8.676568490657e-02       7.312712612021e+03 
       8.988376894595e-02       6.846615548015e+03 
       9.303496263608e-02       6.412827230512e+03 
       9.620706168223e-02       6.022853887861e+03 
       9.939216652291e-02       5.683431278375e+03 
       1.025852886007e-01       5.396359858031e+03 
       1.057833258674e-01       5.159298575653e+03 
       1.089843675955e-01       4.966679408579e+03 
       1.121872436122e-01       4.810141727353e+03 
       1.153912397107e-01       4.680686277401e+03 
       1.185959208078e-01       4.568211660720e+03 
       1.218010220954e-01       4.463087557423e+03 
       1.250063824266e-01       4.357168836863e+03 
       1.282119036900e-01       4.243730991686e+03 
       1.314175260823e-01       4.118489836996e+03 
       1.346232130786e-01       3.980346363848e+03 
       1.378289423012e-01       3.830044357798e+03 
       1.410346999752e-01       3.670222638999e+03 
       1.442404775620e-01       3.505328862554e+03 
       1.474462697143e-01       3.340222158020e+03 
       1.506520730349e-01       3.180144588345e+03 
       1.538578853215e-01       3.029432433969e+03 
       1.570637051081e-01       2.891525737905e+03 
       1.602695313852e-01       2.768725995768e+03 
       1.634753634295e-01       2.661955454753e+03 
       1.666812006994e-01       2.570999202412e+03 
       1.698870427712e-01       2.494396508859e+03 
       1.730928892994e-01       2.430169721103e+03 
       1.762987399926e-01       2.375600244572e+03 
       1.795045945974e-01       2.327467238888e+03 
       1.827104528889e-01       2.283145619209e+03 
       1.859163146644e-01       2.240092107061e+03 
       1.891221797390e-01       2.195400643857e+03 
       1.923280479423e-01       2.147525683375e+03 
       1.955339191170e-01       2.095197821560e+03 
       1.987397931166e-01       2.038337209982e+03 
       2.019456698047e-01       1.977530896404e+03 
       2.051515490538e-01       1.913904559528e+03 
       2.083574307444e-01       1.849119885266e+03 
       2.115633147646e-01       1.784737758748e+03 
       2.147692010090e-01       1.722332662474e+03 
       2.179750893788e-01       1.663159229269e+03 
       2.211809797808e-01       1.608045195623e+03 
       2.243868721274e-01       1.557867826560e+03 
       2.275927663357e-01       1.512674211402e+03 
       2.307986623276e-01       1.472639823805e+03 
       2.340045600292e-01       1.437280775277e+03 
       2.372104593710e-01       1.406071949889e+03 
       2.404163602866e-01       1.378222866019e+03 
       2.436222627137e-01       1.352609340509e+03 
       2.468281665930e-01       1.328366950500e+03 
       2.500340718681e-01       1.304637041891e+03 
       2.532399784859e-01       1.280621660096e+03 
       2.564458863956e-01       1.255826484646e+03 
       2.596517955490e-01       1.229993260405e+03 
       2.628577059005e-01       1.202962026387e+03 
       2.660636174064e-01       1.174903815882e+03 
       2.692695300252e-01       1.146055388739e+03 
       2.724754437175e-01       1.116837634353e+03 
       2.756813584455e-01       1.087651485879e+03 
       2.788872741734e-01       1.058988812131e+03 
       2.820931908668e-01       1.031427038416e+03 
