# Matter power spectrum P(k) at redshift z=0
# for k=1.04299e-05 to 1.0606 h/Mpc,
# number of wavenumbers equal to 562
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.383236751569e-02       2.568788974073e+04 
       1.396380729774e-02       2.574291362118e+04 
       1.409528367644e-02       2.579573954108e+04 
       1.422679679456e-02       2.584639326289e+04 
       1.435834681770e-02       2.589489973038e+04 
       1.448993393388e-02       2.594127843568e+04 
       1.462155835330e-02       2.598556003648e+04 
       1.475322030803e-02       2.602772796879e+04 
       1.488492005180e-02       2.606783901187e+04 
       1.501665785978e-02       2.610589005241e+04 
       1.514843402840e-02       2.614190257536e+04 
       1.528024887522e-02       2.617590426960e+04 
       1.541210273875e-02       2.620787516757e+04 
       1.554399597844e-02       2.623788708400e+04 
       1.567592897452e-02       2.626589613014e+04 
       1.580790212799e-02       2.629196811949e+04 
       1.593991586058e-02       2.631609047458e+04 
       1.607197061475e-02       2.633827834940e+04 
       1.620406685368e-02       2.635855561435e+04 
       1.633620506134e-02       2.637694011188e+04 
       1.646838574252e-02       2.639341851790e+04 
       1.660060942291e-02       2.640803100144e+04 
       1.673287664917e-02       2.642078432170e+04 
       1.686518798910e-02       2.643167070944e+04 
       1.699754403171e-02       2.644069289987e+04 
       1.712994538739e-02       2.644790326918e+04 
       1.726239268808e-02       2.645326691408e+04 
       1.739488658746e-02       2.645684243412e+04 
       1.752742776112e-02       2.645862384488e+04 
       1.766001690681e-02       2.645857370747e+04 
       1.779265474466e-02       2.645672745969e+04 
       1.792534201743e-02       2.645306060149e+04 
       1.805807949077e-02       2.644764030458e+04 
       1.819086795355e-02       2.644047950566e+04 
       1.832370821808e-02       2.643148193780e+04 
       1.845660112051e-02       2.642071260647e+04 
       1.858954752113e-02       2.640818722782e+04 
       1.872254830469e-02       2.639387475482e+04 
       1.885560438083e-02       2.637777759547e+04 
       1.898871668443e-02       2.635991910842e+04 
       1.912188617602e-02       2.634027512650e+04 
       1.925511384219e-02       2.631889516235e+04 
       1.938840069605e-02       2.629563835633e+04 
       1.952174777766e-02       2.627062293709e+04 
       1.965515615453e-02       2.624383302733e+04 
       1.978862692207e-02       2.621522544518e+04 
       1.992216120415e-02       2.618478097179e+04 
       2.005576015360e-02       2.615248229941e+04 
       2.018942495276e-02       2.611835935992e+04 
       2.032315681403e-02       2.608235325406e+04 
       2.045695698051e-02       2.604448778793e+04 
       2.059082672656e-02       2.600469284211e+04 
       2.072476735841e-02       2.596295710589e+04 
       2.085878021488e-02       2.591935212226e+04 
       2.099286666798e-02       2.587370002285e+04 
       2.112702812364e-02       2.582607722980e+04 
       2.126126602241e-02       2.577636513322e+04 
       2.139558184021e-02       2.572462295482e+04 
       2.152997708908e-02       2.567078588267e+04 
       2.166445331796e-02       2.561474074990e+04 
       2.179901211351e-02       2.555654806679e+04 
       2.193365510096e-02       2.549606923075e+04 
       2.206838394494e-02       2.543334474046e+04 
       2.220320035039e-02       2.536820011812e+04 
       2.233810606349e-02       2.530066907231e+04 
       2.247310287257e-02       2.523061693939e+04 
       2.260819260913e-02       2.515803003092e+04 
       2.274337714880e-02       2.508272606107e+04 
       2.287865841240e-02       2.500469769323e+04 
       2.301403836704e-02       2.492384286694e+04 
       2.314951902715e-02       2.483998707934e+04 
       2.328510245569e-02       2.475309367828e+04 
