# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.223827407396e-10       7.175315242375e-15       7.469864439872e-14       0.000000000000e+00       8.451073690527e-11       8.574775039440e-12      -6.602749944380e-15 
   41       1.250567871575e-10       7.792270108003e-15       6.011362053174e-14       0.000000000000e+00       8.027888189712e-11       8.169667610293e-12      -6.098797942677e-15 
   42       1.277735867533e-10       8.442246026131e-15       4.420969232933e-14       0.000000000000e+00       7.632113670820e-11       7.786877340939e-12      -6.091847088039e-15 
   43       1.305329914747e-10       9.125939904142e-15       2.695349362344e-14       0.000000000000e+00       7.262701358723e-11       7.426837478565e-12      -6.425611945725e-15 
   44       1.333324820001e-10       9.844029245859e-15       8.309805238999e-15       0.000000000000e+00       6.916969904425e-11       7.088744385819e-12      -6.903902839250e-15 
   45       1.361684278366e-10       1.059713249871e-14      -1.175534125532e-14       0.000000000000e+00       6.591562729755e-11       6.771046116319e-12      -7.333818856085e-15 
   46       1.390408372091e-10       1.138567777652e-14      -3.326366519476e-14       0.000000000000e+00       6.285967539339e-11       6.473330291303e-12      -7.676532281113e-15 
   47       1.419496515786e-10       1.220999357787e-14      -5.623276619857e-14       0.000000000000e+00       5.999827989214e-11       6.194821626905e-12      -7.937391092540e-15 
   48       1.448932559915e-10       1.307034132777e-14      -8.067924089910e-14       0.000000000000e+00       5.731882195049e-11       5.933767943028e-12      -8.124336277408e-15 
   49       1.478683435477e-10       1.396691236709e-14      -1.066187363841e-13       0.000000000000e+00       5.479895420111e-11       5.687369133206e-12      -8.248067092403e-15 
   50       1.508713581766e-10       1.489983067422e-14      -1.340679329725e-13       0.000000000000e+00       5.241332611661e-11       5.452610825224e-12      -8.323228837245e-15 
   51       1.539035990845e-10       1.586916888570e-14      -1.630510030452e-13       0.000000000000e+00       5.015747385673e-11       5.229196924305e-12      -8.371972857265e-15 
   52       1.569672675767e-10       1.687493142012e-14      -1.935949977688e-13       0.000000000000e+00       4.802925152045e-11       5.017290295670e-12      -8.421648526722e-15 
   53       1.600639500431e-10       1.791704645016e-14      -2.257282118042e-13       0.000000000000e+00       4.602168217597e-11       4.816649863882e-12      -8.504073510368e-15 
   54       1.631945566991e-10       1.899536316166e-14      -2.594803275404e-13       0.000000000000e+00       4.412263290436e-11       4.626602156392e-12      -8.655747142493e-15 
   55       1.663594476549e-10       2.010972024180e-14      -2.948768290027e-13       0.000000000000e+00       4.231851014491e-11       4.446298317738e-12      -8.906578360543e-15 
   56       1.695589881331e-10       2.126017754649e-14      -3.319202881030e-13       0.000000000000e+00       4.060716518616e-11       4.275625111090e-12      -9.242301527390e-15 
   57       1.727930238801e-10       2.244683718329e-14      -3.706046821300e-13       0.000000000000e+00       3.898762548931e-11       4.114470385324e-12      -9.633097642613e-15 
   58       1.760606531379e-10       2.366977735823e-14      -4.109206394632e-13       0.000000000000e+00       3.745619061925e-11       3.962440475520e-12      -1.004403275121e-14 
   59       1.793601726837e-10       2.492905241011e-14      -4.528553605477e-13       0.000000000000e+00       3.600626392334e-11       3.818842868737e-12      -1.043482383778e-14 
   60       1.826890238703e-10       2.622469284479e-14      -4.963925388689e-13       0.000000000000e+00       3.462818421019e-11       3.682668869788e-12      -1.075960472064e-14 
   61       1.860446418074e-10       2.755659381963e-14      -5.415137227482e-13       0.000000000000e+00       3.331190291365e-11       3.552861797677e-12      -1.097750583939e-14 
   62       1.894273477161e-10       2.892415126926e-14      -5.882029366973e-13       0.000000000000e+00       3.205609858385e-11       3.429231136662e-12      -1.108769826026e-14 
   63       1.928380129958e-10       3.032654379348e-14      -6.364429618664e-13       0.000000000000e+00       3.086081886318e-11       3.311713750140e-12      -1.110183604692e-14 
   64       1.962771885686e-10       3.176283356425e-14      -6.862139541085e-13       0.000000000000e+00       2.972473903989e-11       3.200098345763e-12      -1.103404332993e-14 
   65       1.997450795757e-10       3.323196282061e-14      -7.374934106708e-13       0.000000000000e+00       2.864508401203e-11       3.094017200884e-12      -1.090102331751e-14 
   66       2.032415200725e-10       3.473275036357e-14      -7.902561368859e-13       0.000000000000e+00       2.761755025132e-11       2.992937888004e-12      -1.072216730636e-14 
   67       2.067659477254e-10       3.626388805100e-14      -8.444742128629e-13       0.000000000000e+00       2.663622776706e-11       2.896155000217e-12      -1.051966369254e-14 
   68       2.103177414046e-10       3.782408898854e-14      -9.001193189375e-13       0.000000000000e+00       2.569517371112e-11       2.802973627663e-12      -1.031419846617e-14 
   69       2.138973699586e-10       3.941257480564e-14      -9.571703336432e-13       0.000000000000e+00       2.479367788662e-11       2.713321453895e-12      -1.011080137631e-14 
   70       2.175054318241e-10       4.102868127140e-14      -1.015607222525e-12       0.000000000000e+00       2.393192888465e-11       2.627246391438e-12      -9.910314481167e-15 
   71       2.211422969889e-10       4.267171570250e-14      -1.075408842132e-12       0.000000000000e+00       2.310942169182e-11       2.544732494615e-12      -9.713543238193e-15 
