# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_gsf2           16:(.)p_gsf2             17:(.)p_prime_gsf2       18:(.)cs2_gsf2           19:(.)w_gsf2             20:phi_gsf2              21:phi'_gsf2             22:phi''_gsf2            23:V_gsf2                24:V'_gsf2               25:V''_gsf2              26:P_gsf2                27:PX_gsf2               28:Pphi_gsf2             29:PXX_gsf2              30:PXphi_gsf2            31:Pphiphi_gsf2          32:PXXX_gsf2             33:PXXphi_gsf2           34:PXphiphi_gsf2         35:A_gsf2                36:B_gsf2                37:C_dif_gsf2            38:D_gsf2                39:(.)rho_tot            40:(.)p_tot              41:(.)p_tot_prime        42:gr.fac. D             43:gr.fac. f          
       8.980856820338e+13       9.372567846669e-26       5.162291927263e-09       1.739952088621e+22       1.413920331731e+04       1.574371310017e-10       1.269821605464e+18       2.980024645718e-09       1.789988176302e+44       1.803957601300e+33       9.680148935709e+33       3.530299370118e-08       1.237445094279e+44       3.027433270696e+44       4.473271654886e+02      -4.473271654886e+02      -3.559001509751e+13       1.000000000000e+00      -1.000000000000e+00       6.295137200000e-01      -4.537560291180e-34      -8.813995069002e-25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.341981496466e+03       1.000000000000e+00      -8.527099275713e+03       0.000000000000e+00       0.000000000000e+00      -4.063660094198e+04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.874801978093e+08       0.000000000000e+00       0.000000000000e+00       3.027433270696e+44       1.009144423527e+44      -7.820469616928e+52       7.016758475424e-06       1.646118170433e+00 
       8.884838741853e+13       9.576240376613e-26       5.216861609370e-09       1.702945872203e+22       1.413920331731e+04       1.591385474528e-10       1.256245414126e+18       3.012229646798e-09       1.714657057307e+44       1.746713423485e+33       9.372973109315e+33       3.530299370118e-08       1.185367586236e+44       2.900024643655e+44       4.473271654886e+02      -4.473271654886e+02      -3.520950743201e+13       1.000000000000e+00      -1.000000000000e+00       6.295137200000e-01      -5.030846579347e-34      -8.873439335013e-25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.341981496466e+03       1.000000000000e+00      -8.527099275713e+03       0.000000000000e+00       0.000000000000e+00      -4.063660094198e+04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.833374857287e+08       0.000000000000e+00       0.000000000000e+00       2.900024643655e+44       9.666748811811e+43      -7.411254369381e+52       7.140913641551e-06       1.617498012609e+00 
       8.789847232612e+13       9.784338856396e-26       5.273250280879e-09       1.666726723466e+22       1.413920331731e+04       1.608583510400e-10       1.242814371500e+18       3.044782685987e-09       1.642496226007e+44       1.691285749500e+33       9.075544755708e+33       3.530299370118e-08       1.135481744601e+44       2.777977970715e+44       4.473271654886e+02      -4.473271654886e+02      -3.483306793234e+13       1.000000000000e+00      -1.000000000000e+00       6.295137200000e-01      -5.532970424794e-34      -8.938366915187e-25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.341981496466e+03       1.000000000000e+00      -8.527099275713e+03       0.000000000000e+00       0.000000000000e+00      -4.063660094198e+04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.792390651073e+08       0.000000000000e+00       0.000000000000e+00       2.777977970715e+44       9.259926568692e+43      -7.023451789746e+52       7.265068807672e-06       1.589856053482e+00 
       8.695871317136e+13       9.996959462967e-26       5.331457941793e-09       1.631277902639e+22       1.413920331731e+04       1.625967404721e-10       1.229526925742e+18       3.077687524502e-09       1.573372261788e+44       1.637616937045e+33       8.787554562703e+33       3.530299370118e-08       1.087695333746e+44       2.661067595638e+44       4.473271654886e+02      -4.473271654886e+02      -3.446065310406e+13       1.000000000000e+00      -1.000000000000e+00       6.295137200000e-01      -6.044377307301e-34      -9.008763964549e-25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.341981496466e+03       1.000000000000e+00      -8.527099275713e+03       0.000000000000e+00       0.000000000000e+00      -4.063660094198e+04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.751844624067e+08       0.000000000000e+00       0.000000000000e+00       2.661067595638e+44       8.870225318445e+43      -6.655941435054e+52       7.389223973788e-06       1.563142985411e+00 
       8.602900137289e+13       1.021420046244e-25       5.387846613303e-09       1.596583025983e+22       1.413920331731e+04       1.643539166057e-10       1.216381541597e+18       3.110947964195e-09       1.507157359005e+44       1.585651172954e+33       8.508703033382e+33       3.530299370118e-08       1.041919999751e+44       2.549077358857e+44       4.473271654886e+02      -4.473271654886e+02      -3.409221991772e+13       1.000000000000e+00      -1.000000000000e+00       6.295137200000e-01      -6.565523982497e-34      -9.084620560892e-25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.341981496466e+03       1.000000000000e+00      -8.527099275713e+03       0.000000000000e+00       0.000000000000e+00      -4.063660094198e+04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.711732091513e+08       0.000000000000e+00       0.000000000000e+00       2.549077358857e+44       8.496924529186e+43      -6.307661490828e+52       7.513379139900e-06       1.537312759907e+00 
       8.510922951025e+13       1.043616225893e-25       5.446054274216e-09       1.562626058217e+22       1.413920331731e+04       1.661300824678e-10       1.203376700225e+18       3.144567848029e-09       1.443729090674e+44       1.535334415158e+33       8.238700174627e+33       3.530299370118e-08       9.980711070464e+43       2.441800197818e+44       4.473271654886e+02      -4.473271654886e+02      -3.372772580393e+13       1.000000000000e+00      -1.000000000000e+00       6.295137200000e-01      -7.096878955837e-34      -9.165930643495e-25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.341981496466e+03       1.000000000000e+00      -8.527099275713e+03       0.000000000000e+00       0.000000000000e+00      -4.063660094198e+04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.672048418741e+08       0.000000000000e+00       0.000000000000e+00       2.441800197818e+44       8.139333992402e+43      -5.977605703280e+52       7.637534306006e-06       1.512322322709e+00 
       8.419929131143e+13       1.066294744229e-25       5.506080924533e-09       1.529391305106e+22       1.413920331731e+04       1.679254432797e-10       1.190510899026e+18       3.178551060534e-09       1.382970182115e+44       1.486614336480e+33       7.977265195541e+33       3.530299370118e-08       9.560675819248e+43       2.339037764134e+44       4.473271654886e+02      -4.473271654886e+02      -3.336712864843e+13       1.000000000000e+00      -1.000000000000e+00       6.295137200000e-01      -7.638922951479e-34      -9.252691962381e-25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.341981496466e+03       1.000000000000e+00      -8.527099275713e+03       0.000000000000e+00       0.000000000000e+00      -4.063660094198e+04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.632789020633e+08       0.000000000000e+00       0.000000000000e+00       2.339037764134e+44       7.796792546798e+43      -5.664820472032e+52       7.761689472104e-06       1.488131374309e+00 
       8.329908164066e+13       1.089466082148e-25       5.564288585447e-09       1.496863406209e+22       1.413920331731e+04       1.697402064804e-10       1.177782651463e+18       3.212901528123e-09       1.324768294116e+44       1.439440270216e+33       7.724126215441e+33       3.530299370118e-08       9.158317626413e+43       2.240600056849e+44       4.473271654886e+02      -4.473271654886e+02      -3.301038678721e+13       1.000000000000e+00      -1.000000000000e+00       6.295137200000e-01      -8.192149237495e-34      -9.344906087500e-25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.341981496466e+03       1.000000000000e+00      -8.527099275713e+03       0.000000000000e+00       0.000000000000e+00      -4.063660094198e+04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.593949361091e+08       0.000000000000e+00       0.000000000000e+00       2.240600056849e+44       7.468666855858e+43      -5.368402094962e+52       7.885844638196e-06       1.464702153154e+00 
       8.240849648618e+13       1.113140949342e-25       5.624315235764e-09       1.465027327780e+22       1.413920331731e+04       1.715745817506e-10       1.165190486892e+18       3.247623219745e-09       1.269015815230e+44       1.393763157448e+33       7.479019981109e+33       3.530299370118e-08       8.772892558222e+43       2.146305071141e+44       4.473271654886e+02      -4.473271654886e+02      -3.265745900173e+13       1.000000000000e+00      -1.000000000000e+00       6.295137200000e-01      -8.757064306769e-34      -9.442578296137e-25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.341981496466e+03       1.000000000000e+00      -8.527099275713e+03       0.000000000000e+00       0.000000000000e+00      -4.063660094198e+04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.555524952516e+08       0.000000000000e+00       0.000000000000e+00       2.146305071141e+44       7.154350236842e+43      -5.087494157226e+52       8.009999804286e-06       1.441999238858e+00 
       8.152743294829e+13       1.137330287972e-25       5.686160875484e-09       1.433868355815e+22       1.413920331731e+04       1.734287810372e-10       1.152732950394e+18       3.282720147207e-09       1.215609662805e+44       1.349535496021e+33       7.241691593026e+33       3.530299370118e-08       8.403687989172e+43       2.055978461808e+44       4.473271654886e+02      -4.473271654886e+02      -3.230830451411e+13       1.000000000000e+00      -1.000000000000e+00       6.295137200000e-01      -9.334188253406e-34      -9.545717580117e-25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.341981496466e+03       1.000000000000e+00      -8.527099275713e+03       0.000000000000e+00       0.000000000000e+00      -4.063660094198e+04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.517511355287e+08       0.000000000000e+00       0.000000000000e+00       2.055978461808e+44       6.853261539073e+43      -4.821285056888e+52       8.134154970376e-06       1.419989373603e+00 
