# Matter power spectrum P(k) at redshift z=0
# for k=1.05305e-05 to 1.16662 h/Mpc,
# number of wavenumbers equal to 569
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.345460388488e-02       2.321811606576e+04 
       1.358326967070e-02       2.325946915061e+04 
       1.371197173675e-02       2.329877965118e+04 
       1.384071019218e-02       2.333609486350e+04 
       1.396948516926e-02       2.337141991245e+04 
       1.409829682295e-02       2.340480007910e+04 
       1.422714533058e-02       2.343624739535e+04 
       1.435603089153e-02       2.346578163370e+04 
       1.448495372698e-02       2.349343970143e+04 
       1.461391407965e-02       2.351922914663e+04 
       1.474291221361e-02       2.354319653124e+04 
       1.487194841407e-02       2.356534173910e+04 
       1.500102298724e-02       2.358569403047e+04 
       1.513013626020e-02       2.360428581763e+04 
       1.525928858078e-02       2.362113182471e+04 
       1.538848031750e-02       2.363626772149e+04 
       1.551771185951e-02       2.364969695378e+04 
       1.564698361654e-02       2.366145074196e+04 
       1.577629601890e-02       2.367154531696e+04 
       1.590564951746e-02       2.368001476227e+04 
       1.603504458375e-02       2.368686567267e+04 
       1.616448170991e-02       2.369212878580e+04 
       1.629396140884e-02       2.369583293525e+04 
       1.642348421424e-02       2.369798478894e+04 
       1.655305068074e-02       2.369861305529e+04 
       1.668266138399e-02       2.369773626910e+04 
       1.681231692086e-02       2.369537257280e+04 
       1.694201790954e-02       2.369153964593e+04 
       1.707176498976e-02       2.368627061208e+04 
       1.720155882294e-02       2.367957928456e+04 
       1.733140009244e-02       2.367146923065e+04 
       1.746128950379e-02       2.366199915124e+04 
       1.759122778490e-02       2.365115888078e+04 
       1.772121568633e-02       2.363896725840e+04 
       1.785125398161e-02       2.362545823531e+04 
       1.798134346746e-02       2.361063158985e+04 
       1.811148496419e-02       2.359453225742e+04 
       1.824167931594e-02       2.357717056969e+04 
       1.837192739108e-02       2.355854564572e+04 
       1.850223008257e-02       2.353869484353e+04 
       1.863258830831e-02       2.351766050437e+04 
       1.876300301154e-02       2.349540087458e+04 
       1.889347516128e-02       2.347195083324e+04 
       1.902400575273e-02       2.344736149616e+04 
       1.915459580773e-02       2.342165172605e+04 
       1.928524637522e-02       2.339483118129e+04 
       1.941595853172e-02       2.336685991201e+04 
       1.954673338184e-02       2.333784600316e+04 
       1.967757205880e-02       2.330775403159e+04 
       1.980847572495e-02       2.327658755358e+04 
       1.993944557235e-02       2.324444587292e+04 
       2.007048282334e-02       2.321124077548e+04 
       2.020158873112e-02       2.317704821198e+04 
       2.033276458039e-02       2.314187355415e+04 
       2.046401168799e-02       2.310573480619e+04 
       2.059533140353e-02       2.306865994591e+04 
       2.072672511010e-02       2.303064748030e+04 
       2.085819422496e-02       2.299170138030e+04 
       2.098974020027e-02       2.295184637176e+04 
       2.112136452385e-02       2.291115286571e+04 
       2.125306871994e-02       2.286958059639e+04 
       2.138485435000e-02       2.282712235203e+04 
       2.151672301352e-02       2.278385536046e+04 
       2.164867634893e-02       2.273976366932e+04 
       2.178071603438e-02       2.269486911062e+04 
       2.191284378874e-02       2.264915554009e+04 
       2.204506137247e-02       2.260270808027e+04 
       2.217737058861e-02       2.255547476713e+04 
       2.230977328376e-02       2.250749767079e+04 
       2.244227134910e-02       2.245881392688e+04 
       2.257486672148e-02       2.240940460508e+04 
       2.270756138445e-02       2.235925287076e+04 
       2.284035736943e-02       2.230847466775e+04 
       2.297325675684e-02       2.225699146091e+04 
       2.310626167731e-02       2.220484893205e+04 
       2.323937431292e-02       2.215208181299e+04 
       2.337259689842e-02       2.209866174651e+04 
       2.350593172260e-02       2.204460961678e+04 
       2.363938112962e-02       2.198999048498e+04 
       2.377294752038e-02       2.193474322962e+04 
       2.390663335400e-02       2.187895500674e+04 
       2.404044114927e-02       2.182258103612e+04 
       2.417437348621e-02       2.176564879029e+04 
       2.430843300763e-02       2.170819595636e+04 
       2.444262242077e-02       2.165021282622e+04 
       2.457694449899e-02       2.159169176123e+04 
       2.471140208352e-02       2.153268360590e+04 
       2.484599808524e-02       2.147323926948e+04 
       2.498073548652e-02       2.141322639499e+04 
       2.511561734320e-02       2.135285683670e+04 
       2.525064678651e-02       2.129198530694e+04 
       2.538582702515e-02       2.123066089896e+04 
       2.552116134740e-02       2.116886370947e+04 
       2.565665312331e-02       2.110672279498e+04 
       2.579230580695e-02       2.104414373515e+04 
       2.592812293879e-02       2.098118650590e+04 
       2.606410814805e-02       2.091780976458e+04 
       2.620026515530e-02       2.085407187318e+04 
       2.633659777496e-02       2.079001310727e+04 
       2.647310991804e-02       2.072558718323e+04 
       2.660980559488e-02       2.066078442584e+04 
       2.674668891807e-02       2.059567707692e+04 
       2.688376410539e-02       2.053025815360e+04 
       2.702103548291e-02       2.046448563022e+04 
       2.715850748816e-02       2.039850608050e+04 
       2.729618467350e-02       2.033209070943e+04 
       2.743407170949e-02       2.026549337850e+04 
       2.757217338851e-02       2.019867928502e+04 
       2.771049462839e-02       2.013145454423e+04 
       2.784904047630e-02       2.006401857953e+04 
       2.798781611269e-02       1.999643220641e+04 
       2.812682685542e-02       1.992851588793e+04 
       2.826607816408e-02       1.986038802177e+04 
       2.840557564437e-02       1.979211322481e+04 
       2.854532505280e-02       1.972353664521e+04 
       2.868533230145e-02       1.965482924893e+04 
       2.882560346296e-02       1.958589762467e+04 
       2.896614477575e-02       1.951680127145e+04 
       2.910696264940e-02       1.944748013851e+04 
       2.924806367026e-02       1.937806351781e+04 
       2.938945460732e-02       1.930843701767e+04 
       2.953114241830e-02       1.923866032751e+04 
       2.967313425594e-02       1.916876195771e+04 
       2.981543747468e-02       1.909869713230e+04 
       2.995805963748e-02       1.902855310558e+04 
       3.010100852300e-02       1.895824168666e+04 
       3.024429213312e-02       1.888777462560e+04 
       3.038791870071e-02       1.881729264748e+04 
       3.053189669777e-02       1.874660915011e+04 
       3.067623484396e-02       1.867588350937e+04 
       3.082094211546e-02       1.860511618057e+04 
       3.096602775423e-02       1.853416065204e+04 
       3.111150127774e-02       1.846318720459e+04 
       3.125737248906e-02       1.839209006471e+04 
       3.140365148751e-02       1.832102842279e+04 
       3.155034867972e-02       1.824980403303e+04 
